SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-09-13,Old East Davis/Wildhorse,15.660181,0.0,0.0,381000.0
2021-09-13,Far West Davis,0.0,38.8556981,0.0,229000.0
2021-09-13,North Davis A,0.0,11.0633362,0.0,265000.0
2021-09-13,North Davis B,0.0,11.4202786,0.0,241000.0
2021-09-13,North Davis C,173.960438,115.964518,0.0006476666666666666,224000.0
2021-09-13,North Davis D,0.0,11.191485,0.0,235000.0
2021-09-13,The Cannery,65.5699396,43.7120199,0.0004896666666666667,112000.0
2021-09-13,Far East Davis,176.440735,154.381094,0.00011433333333333334,1450000.0
2021-09-13,North Central Davis,0.0,0.0,0.0,232000.0
2021-09-13,Central Davis,42.5701523,10.6420648,0.0,324000.0
2021-09-13,East Central Davis A,71.2049246,183.127823,0.000759,168000.0
2021-09-13,North J,44.0054035,11.0008586,0.0,64100.0
2021-09-13,8th and J,0.0,0.0,0.0,314000.0
2021-09-13,Rancho Yolo: East 8th Street,22.0284629,0.0,0.0,237000.0
2021-09-13,South Davis/El Macero,53.6024857,32.1605468,0.0,154000.0
2021-09-13,Peregrine School (downstream),10.6864059,0.0,0.0,161000.0
2021-09-13,Peregrine School (upstream),11.172955,22.3462319,0.0,338000.0
2021-09-13,Arroyo A,0.0,11.338669,0.0,206000.0
2021-09-13,Arroyo B,0.0,22.925992,0.0,228000.0
2021-09-13,East Central Davis B,0.0,32.8641749,0.0,44100.0
2021-09-13,Rancho Yolo/Research Park,10.8868897,10.8868897,0.0,140000.0
2021-09-13,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,141000.0
2021-09-13,Cantrill Drive,0.0,0.0,0.0,138000.0
2021-09-13,Olive Drive,0.0,0.0,0.0,80400.0
2021-09-15,Old East Davis/Wildhorse,345.819054,0.0,0.0005516666666666667,313000.0
2021-09-15,Far West Davis,116.274214,174.437618,0.0003296666666666667,441000.0
2021-09-15,North Davis A,0.0,0.0,0.0,191000.0
2021-09-15,North Davis B,0.0,133.762474,0.000811,165000.0
2021-09-15,North Davis C,0.0,0.0,0.0,98700.0
2021-09-15,North Davis D,0.0,0.0,0.0,250000.0
2021-09-15,The Cannery,0.0,0.0,0.0,203000.0
2021-09-15,Far East Davis,0.0,139.909782,0.0011843333333333335,118000.0
2021-09-15,North Central Davis,174.899139,0.0,0.0007109999999999999,246000.0
2021-09-15,Central Davis,277.078228,188.391228,0.0015033333333333333,155000.0
2021-09-15,East Central Davis A,236.700535,293.079166,0.0005476666666666667,484000.0
2021-09-15,North J,68.5604525,65.5319977,0.00022066666666666667,304000.0
2021-09-15,8th and J,0.0,0.0,0.0,316000.0
2021-09-15,Rancho Yolo: East 8th Street,0.0,0.0,0.0,84100.0
2021-09-15,South Davis/El Macero,99.1277218,0.0,0.000768,129000.0
2021-09-15,Peregrine School (downstream),0.0,0.0,0.0,233000.0
2021-09-15,Peregrine School (upstream),76.4708853,0.0,1.6e-05,127000.0
2021-09-15,Arroyo A,0.0,766.583404,0.0,50900.0
2021-09-15,Arroyo B,0.0,188.268261,0.0006309999999999999,298000.0
2021-09-15,East Central Davis B,0.0,188.268261,0.001686,112000.0
2021-09-15,Rancho Yolo/Research Park,0.0,0.0,0.0,42300.0
2021-09-15,Rancho Yolo: Pole Line north of 5th,0.0,10.3647578,0.0,455000.0
2021-09-15,Cantrill Drive,0.0,0.0,0.0,528000.0
2021-09-15,Olive Drive,10.5272341,0.0,0.0,36000.0
2021-09-09,COD WWTP,42.1538782,52.6931238,0.00010133333333333333,520000.0
2021-09-10,COD WWTP,10.5233478,10.5233478,0.0,529000.0
2021-09-11,COD WWTP,40.6207085,60.9328174,0.00016166666666666665,377000.0
2021-09-12,COD WWTP,10.0439191,0.0,0.0,124000.0
2021-09-13,COD WWTP,51.5007686,30.8995843,0.0,284000.0
2021-09-14,COD WWTP,10.292629,10.292629,0.0,349000.0
2021-09-15,COD WWTP,40.3854322,10.0959432,0.0,228000.0
2021-10-08,Old East Davis/Wildhorse,0.0,12.7309645,0.0,434000.0
2021-10-08,Far West Davis,12.0477939,0.0,0.0,201000.0
2021-10-08,North Davis B,0.0,0.0,0.0,129000.0
2021-10-08,North Davis C,0.0,11.6268944,0.0,220000.0
2021-10-08,North Davis D,11.3436259,170.190639,0.00044633333333333336,381000.0
2021-10-08,The Cannery,47.6303293,11.9070339,0.0,134000.0
2021-10-08,Far East Davis,34.5578502,46.0778333,0.000147,314000.0
2021-10-08,North Central Davis,23.5284518,35.2932214,0.0,183000.0
2021-10-08,Central Davis,0.0,68.2479046,0.0,504000.0
2021-10-08,East Central Davis A,0.0,10.958401,0.0,140000.0
2021-10-08,North J,0.0,11.3186266,0.0,109000.0
2021-10-08,8th and J,0.0,21.674385,0.0,963000.0
2021-10-08,Rancho Yolo: East 8th Street,0.0,12.2602998,0.0,61200.0
2021-10-08,South Davis/El Macero,10.8880723,10.8880723,0.0,40600.0
2021-10-08,Peregrine School (downstream),0.0,0.0,0.0,282000.0
2021-10-08,Peregrine School (upstream),10.6366742,53.1864691,0.00044333333333333334,120000.0
2021-10-08,Arroyo A,0.0,22.162769,0.0,85400.0
2021-10-08,Arroyo B,44.355464,88.7161827,0.00010966666666666667,809000.0
2021-10-08,East Central Davis B,22.1423219,44.2859459,0.0010353333333333332,42800.0
2021-10-08,Rancho Yolo/Research Park,11.1657082,22.33176,0.0,123000.0
2021-10-08,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,0.0
2021-10-08,Cantrill Drive,0.0,0.0,0.0,101000.0
2021-10-11,Old East Davis/Wildhorse,0.0,11.8342185,0.0,310000.0
2021-10-11,Far West Davis,0.0,0.0,0.0,361000.0
2021-10-11,North Davis A,0.0,0.0,0.0,209000.0
2021-10-11,North Davis B,11.5381718,0.0,0.0,726000.0
2021-10-11,North Davis C,0.0,10.9697115,0.0,139000.0
2021-10-11,North Davis D,0.0,0.0,0.0,173000.0
2021-10-11,The Cannery,0.0,0.0,0.0,193000.0
2021-10-11,Far East Davis,65.936203,65.936203,0.00014800000000000002,446000.0
2021-10-11,North Central Davis,11.3767183,22.7537727,0.0,1810000.0
2021-10-11,Central Davis,0.0,11.0833895,0.0,353000.0
2021-10-11,East Central Davis A,23.493421,23.493421,0.0,296000.0
2021-10-11,North J,0.0,10.7926559,0.0,224000.0
2021-10-11,8th and J,42.8674269,85.7399178,0.00021933333333333334,391000.0
