SampleDate,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged,City,positives,Testing,NormalizedConc_crude,NormalizedConc,positives_crude,NormalizedConc_wo,Type,N_gene,n_res_episodedate
2021-09-09,42.1538782,52.6931238,9.119904038461539e-05,520000.0,Davis,15.0,1983.0,9.119904038461539e-05,9.119904038461539e-05,15.0,9.119904038461539e-05,influent,,
2021-09-10,10.5233478,10.5233478,0.0,529000.0,Davis,3.0,2276.0,0.0,0.0,3.0,0.0,influent,,
2021-09-11,40.6207085,60.9328174,0.00013468637387267904,377000.0,Davis,5.0,1574.0,0.00013468637387267904,0.00013468637387267904,5.0,0.00013468637387267904,influent,,
2021-09-12,10.0439191,0.0,0.0,124000.0,Davis,4.0,803.0,0.0,0.0,4.0,0.0,influent,,
2021-09-13,749.2897418,754.7812647999999,0.002006039004216954,6390600.0,Davis,5.0,1131.0,0.002006039004216954,0.002006039004216954,5.0,0.002006039004216954,influent,,
2021-09-14,10.292629,10.292629,0.0,349000.0,Davis,9.0,1710.0,0.0,0.0,9.0,0.0,influent,,
2021-09-15,1445.8428959,2158.6928927,0.0034524525799247098,5608000.0,Davis,8.0,2045.0,0.0034524525799247098,0.0034524525799247098,8.0,0.0034524525799247098,influent,,
2021-09-16,,,,,Davis,3.0,1587.0,,0.0030326713413434967,3.0,,influent,,
2021-09-17,,,,,Davis,6.0,1767.0,,0.0026128901027622836,6.0,,influent,,
2021-09-18,,,,,Davis,6.0,1846.0,,0.00219310886418107,6.0,,influent,,
2021-09-19,,,,,Davis,8.0,1046.0,,0.001773327625599857,8.0,,influent,,
2021-09-20,646.2747707,584.499235,0.0013535463870186439,5694300.0,Davis,5.0,1091.0,0.0013535463870186439,0.0013535463870186439,5.0,0.0013535463870186439,influent,,
2021-09-21,,,,,Davis,9.0,1913.0,,0.001160182617444552,9.0,,influent,,
2021-09-22,,,,,Davis,7.0,2141.0,,0.00096681884787046,7.0,,influent,,
2021-09-23,,,,,Davis,5.0,1267.0,,0.0007734550782963679,5.0,,influent,,
2021-09-24,,,,,Davis,14.0,2319.0,,0.000580091308722276,14.0,,influent,,
2021-09-25,,,,,Davis,3.0,1431.0,,0.000386727539148184,3.0,,influent,,
2021-09-26,,,,,Davis,4.0,849.0,,0.00019336376957409195,4.0,,influent,,
2021-09-27,429.1783999,258.9471337,0.0,4053400.0,Davis,4.0,1026.0,0.0,0.0,4.0,0.0,influent,,
2021-09-28,,,,,Davis,8.0,1564.0,,0.0,8.0,,influent,,
2021-09-29,,,,,Davis,9.0,2326.0,,0.0,9.0,,influent,,
2021-09-30,,,,,Davis,0.0,1127.0,,0.0,0.0,,influent,,
2021-10-01,,,,,Davis,11.0,2525.0,,0.0,11.0,,influent,,
2021-10-02,,,,,Davis,3.0,1392.0,,0.0,3.0,,influent,,
2021-10-03,,,,,Davis,7.0,724.0,,0.0,7.0,,influent,,
2021-10-04,,,,,Davis,6.0,500.0,,0.0,6.0,,influent,,
2021-10-05,,,,,Davis,7.0,2374.0,,0.0,7.0,,influent,,
2021-10-06,,,,,Davis,6.0,2062.0,,0.0,6.0,,influent,,
2021-10-07,0.0,0.0,0.0,665000.0,Davis,4.0,1475.0,0.0,0.0,4.0,0.0,influent,,
2021-10-08,272.8170513,664.9871001,0.00021064529814920522,5758000.0,Davis,3.0,1794.0,0.00021064529814920522,0.00021064529814920522,3.0,0.00021064529814920522,influent,,
2021-10-09,0.0,0.0,0.0,99000.0,Davis,1.0,1506.0,0.0,0.0,1.0,0.0,influent,,
2021-10-10,10.6857813,0.0,0.0,53200.0,Davis,1.0,625.0,0.0,0.0,1.0,0.0,influent,,
2021-10-11,291.0662007,411.0803746,0.0003941190553343347,10294200.0,Davis,4.0,934.0,0.0003941190553343347,0.0003941190553343347,4.0,0.0003941190553343347,influent,,
2021-10-12,21.8981671,21.8981671,0.0,288000.0,Davis,7.0,1422.0,0.0,0.0,7.0,0.0,influent,,
2021-10-13,719.7525760999999,698.2735279999999,0.0008367934459450172,10510100.0,Davis,7.0,2024.0,0.0008367934459450172,0.0008367934459450172,7.0,0.0008367934459450172,influent,,
2021-10-14,49.5851898,0.0,0.0,335000.0,Davis,3.0,1630.0,0.0,0.0,3.0,0.0,influent,,
2021-10-15,0.0,12.1114087,0.0,132000.0,Davis,6.0,2434.0,0.0,0.0,6.0,0.0,influent,,
2021-10-16,37.540555,25.0266504,0.0,313000.0,Davis,2.0,1267.0,0.0,0.0,2.0,0.0,influent,,
2021-10-17,12.12044,0.0,0.0,115000.0,Davis,3.0,335.0,0.0,0.0,3.0,0.0,influent,,
2021-10-18,58.707749899999996,59.242391500000004,0.0,1720000.0,Davis,3.0,952.0,0.0,0.0,3.0,0.0,influent,,
2021-10-19,11.6204142,0.0,0.0,408000.0,Davis,4.0,1062.0,0.0,0.0,4.0,0.0,influent,,
2021-10-20,633.3736379000001,523.9143078999999,0.001480099332904206,7772300.0,Davis,8.0,2417.0,0.001480099332904206,0.001480099332904206,8.0,0.001480099332904206,influent,,
2021-10-21,11.1623835,11.1623835,0.0,329000.0,Davis,10.0,1571.0,0.0,0.0,10.0,0.0,influent,,
2021-10-22,925.966722,472.075201,0.0003550708017923148,7963000.0,Davis,9.0,2160.0,0.0003550708017923148,0.0003550708017923148,9.0,0.0003550708017923148,influent,,
2021-10-23,11.0263598,11.0263598,0.0,449000.0,Davis,3.0,1276.0,0.0,0.0,3.0,0.0,influent,,
2021-10-24,32.090323,0.0,0.0,196000.0,Davis,7.0,499.0,0.0,0.0,7.0,0.0,influent,,
2021-10-25,446.3279587,264.6136155,0.0005026413559698997,7160600.0,Davis,4.0,1027.0,0.0005026413559698997,0.0005026413559698997,4.0,0.0005026413559698997,influent,,
2021-10-26,44.0804815,55.1014233,0.00014585574235294118,340000.0,Davis,6.0,1778.0,0.00014585574235294118,0.00014585574235294118,6.0,0.00014585574235294118,influent,,
2021-10-27,661.0009344,754.6370447,0.0013460018331247561,9098200.0,Davis,11.0,2185.0,0.0013460018331247561,0.0013460018331247561,11.0,0.0013460018331247561,influent,,
2021-10-28,0.0,0.0,0.0,351000.0,Davis,2.0,1467.0,0.0,0.0,2.0,0.0,influent,,
2021-10-29,527.3475945,695.9426923,0.0004778475787775172,4729000.0,Davis,8.0,1749.0,0.0004778475787775172,0.0004778475787775172,8.0,0.0004778475787775172,influent,,
2021-10-30,0.0,35.0207734,0.0,310000.0,Davis,3.0,1309.0,0.0,0.0,3.0,0.0,influent,,
